track_id,lat,lon,speed,lon_acc,lat_acc,time
607,37.978421,23.735518,20.8957,-0.0655,-0.0712,514.4
608,37.97841,23.735531,17.1551,0.0825,0.0453,515.2
609,37.978413,23.735536,18.0745,0.0589,-0.0198,519.6
610,37.980597,23.735034,42.1033,0.1077,-0.0327,520.8
611,37.980532,23.734913,29.885,0.1401,-0.0469,521.0
612,37.980642,23.73509,30.7251,0.0181,-0.0037,521.6
613,37.980653,23.735111,28.4896,0.0194,-0.0054,522.0
614,37.980628,23.735083,24.6668,0.0169,-0.0562,523.0
615,37.980599,23.735038,39.3711,0.035,-0.0956,523.0
616,37.980617,23.735051,29.7656,0.0081,-0.034,523.2
617,37.980586,23.735018,33.3402,0.341,0.0052,523.2
618,37.980627,23.735071,28.4585,0.4699,-0.0028,525.4
619,37.98065,23.735109,29.1311,0.2017,0.0199,525.4
620,37.980645,23.735083,27.2709,0.048,-0.0193,525.8
621,37.980601,23.735025,33.8196,0.2291,-0.0292,526.0
622,37.980622,23.73505,33.339,0.2026,-0.0097,527.2
623,37.980638,23.73508,33.4607,0.3509,-0.0012,527.8
624,37.980035,23.736899,14.6109,-0.5418,-0.1692,528.0
625,37.97841,23.735528,41.478,0.9253,0.0139,528.8
626,37.979049,23.735097,0.0098,0.0142,-0.0,530.6
627,37.980632,23.735079,35.4758,0.1162,-0.0071,531.4
628,37.980611,23.735056,35.7841,0.2807,-0.0187,531.6
629,37.980495,23.735196,36.6698,0.0334,-0.0652,535.4
630,37.980522,23.735216,40.4401,-0.0343,-0.0511,535.4
631,37.980473,23.735169,38.0549,0.1096,-0.0273,535.8
632,37.980513,23.735199,41.5462,-0.0119,0.1184,536.4
633,37.977625,23.737408,3.1868,0.3039,0.0,536.6
634,37.980527,23.73518,35.8659,-0.2317,-0.002,539.6
635,37.977652,23.737387,13.1822,-0.2441,0.3135,539.8
636,37.980499,23.735124,52.4332,0.2614,0.0233,540.0
637,37.980537,23.7352,33.4379,0.6601,-0.0372,540.0
638,37.980493,23.735111,26.5479,0.357,-0.0189,541.4
639,37.980092,23.736995,17.5407,0.0068,0.0119,543.6
640,37.980167,23.73531,3.8335,-0.1961,0.0299,545.4
641,37.977625,23.737403,3.0577,0.1668,0.0,549.4
642,37.978405,23.735523,31.5671,-0.0719,0.0295,552.8
643,37.980046,23.736912,17.2262,1.4344,-0.3415,552.8
644,37.978545,23.735838,3.4385,-0.4867,0.0294,559.0
645,37.978084,23.737902,18.8678,-0.0188,0.165,561.2
646,37.980063,23.73696,18.1338,0.0841,-0.0308,565.2
647,37.979938,23.736617,1.5659,0.0246,-0.0359,567.8
648,37.98052,23.735172,24.1615,-0.1036,0.026,569.2
649,37.980506,23.735146,25.6315,-0.0456,-0.0457,569.6
650,37.980545,23.735182,22.6874,0.0474,0.0088,570.0
651,37.980626,23.735081,28.6975,-0.0047,0.0527,570.2
652,37.980605,23.735072,31.6467,0.0809,-0.0311,570.4
653,37.98059,23.735025,31.9231,0.0428,-0.0117,570.6
654,37.980601,23.735051,31.8716,0.0214,0.0112,571.0
655,37.980601,23.735048,30.5807,-0.0014,-0.0262,571.8
656,37.980597,23.735019,30.7673,0.0318,-0.0545,572.2
657,37.978438,23.737964,31.9629,-0.0182,-0.0181,572.6
658,37.980603,23.735043,29.5078,0.0398,-0.2313,572.8
659,37.980635,23.735115,40.0656,0.2454,-0.0055,572.8
660,37.980615,23.735085,54.199,-0.0033,0.4144,575.0
661,37.978407,23.735523,29.5151,0.0128,-0.0348,575.2
662,37.977611,23.737435,14.8153,-0.1133,0.4453,575.2
663,37.980583,23.735036,38.4552,0.0459,0.0641,575.6
664,37.980643,23.735121,34.4725,0.1299,-0.1027,576.2
665,37.980604,23.735098,52.3363,-0.001,0.1023,576.4
666,37.98064,23.735109,34.9301,0.0117,0.0487,577.4
667,37.977931,23.737392,5.7642,0.0291,0.1554,577.6
668,37.978414,23.735533,29.0604,-0.0105,0.0643,578.6
669,37.98061,23.735096,50.1421,0.0608,0.1515,579.0
670,37.980637,23.735108,40.5072,0.025,0.0307,579.0
671,37.977631,23.737446,12.2167,-0.0653,0.3592,579.4
